Time Study Service Fee List 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Service,Service Description,Student Fee,Refferal Fee,Sales of Cost,Revenue,"TS
JP/KR/TH",KN,Description,TS,FHS,Ozihouse,AHN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME STUDY HOMESTAY - Booking information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Weekly internet fee is included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Half Board : Mon to Fri serves 2 meals ( Breakfast and Dinner ) and Weekend serve 3 meals ( Breakfast, Lunch and Dinner )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Full Board : Mon to Sun serve 3 meals ( Breakfast, Lunch and Dinner )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Twin room will only available for student apply together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Oyako option: provide one single parent + one single child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Study Tour Booking : Please make an inquiry to admissions@timest.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멜번 픽업 - https://melbournepickup.com.au/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider,,Service Description,Student Fee,Refferal Fee,Sales of Cost,Profit,,,Description,Type,Service Description,Student Fee,Refferal Fee,Sales of Cost,Profit,Description,Type,Service Description,Student Fee,Refferal Fee,Sales of Cost,Profit,Description,Type,Service Description,Student Fee,Refferal Fee,Sales of Cost,Profit,Description
멜번 픽업,,Airport((Tullamarine) to CBD,,,$70,,,,https://melbournepickup.com.au/,Homestay,Placement fee,$350.00,$0.00,$0.00,$350.00,,Homestay,Placement fee,$350.00,$0.00,$0.00,$350.00,,Homestay,Placement fee,$350.00,$0.00,$0.00,$350.00,
,,Airport((Tullamarine) to Sub or Avelone,,,$150,,,,,,,,,,,,,,,,,,,,,,,,,
,,Escort Service,,,$60,,,,,,Single Room_Over 18,$380.00,$0.00,$380.00,$0.00,,,Single Room_Over 18,$380.00,$0.00,$380.00,$0.00,,,Single Room_Over 18,$380.00,$0.00,$380.00,$0.00,
,,Morning Charge,,,$10,,,,,,Single Room_Under 18,$400.00,$0.00,$400.00,$0.00,,,Single Room_Under 18,$400.00,$0.00,$400.00,$0.00,,,Single Room_Under 18,$400.00,$0.00,$400.00,$0.00,
,,Extra Person,,,$10,,,,,,Twin Room_Over 18,$340.00,$0.00,$340.00,$0.00,,,Twin Room_Over 18,$340.00,$0.00,$340.00,$0.00,,,Twin Room_Over 18,$340.00,$0.00,$340.00,$0.00,
,,,,,,,,,,,Twin Room_Under 18,$355.00,$0.00,$355.00,$0.00,,,Twin Room_Under 18,$355.00,$0.00,$355.00,$0.00,,,Twin Room_Under 18,$355.00,$0.00,$355.00,$0.00,
,,,,,,,,,,,Lunches (Mon-Fri),$30.00,$0.00,$30.00,$0.00,,,Lunches (Mon-Fri),$30.00,$0.00,$30.00,$0.00,,,Lunches (Mon-Fri),$30.00,$0.00,$30.00,$0.00,
,,,,,,,,,,Demi-pair,,,$0.00,,$0.00,,Demi-pair,,,$0.00,,$0.00,,Demi-pair,,,$0.00,,$0.00,
,,,,,,,,,,Au-pair,,,$0.00,,$0.00,,Au-pair,,,$0.00,,$0.00,,Au-pair,,,$0.00,,$0.00,
